Año,Región,Mes,Provincia,Área Protegida,Total,Residentes,No residentes
2008,Litoral,Marzo,Entre Ríos,Pre Delta,362,360,2
2008,Litoral,Marzo,Formosa,Formosa,0,0,0
2008,Litoral,Marzo,Formosa,Río Pilcomayo,1080,1055,25
2008,Litoral,Marzo,Misiones,Iguazú,92956,43421,49535
2008,Litoral,Abril,Chaco,Chaco,193,176,17
2008,Litoral,Abril,Corrientes,Mburucuyá,171,167,4
2008,Litoral,Abril,Entre Ríos,El Palmar,2908,2849,59
2008,Litoral,Abril,Entre Ríos,Pre Delta,565,561,4
2008,Litoral,Abril,Formosa,Formosa,0,0,0
2008,Litoral,Abril,Formosa,Río Pilcomayo,276,268,8
2008,Litoral,Abril,Misiones,Iguazú,50535,19800,30735
2008,Litoral,Mayo,Chaco,Chaco,354,340,14
2008,Litoral,Mayo,Corrientes,Mburucuyá,93,82,11
2008,Litoral,Mayo,Entre Ríos,El Palmar,2853,2826,27
2008,Litoral,Mayo,Entre Ríos,Pre Delta,369,368,1
2008,Litoral,Mayo,Formosa,Formosa,3,3,0
2008,Litoral,Mayo,Formosa,Río Pilcomayo,435,428,7
2008,Litoral,Mayo,Misiones,Iguazú,54249,24491,29758
2008,Litoral,Junio,Chaco,Chaco,167,136,31
2008,Litoral,Junio,Corrientes,Mburucuyá,173,168,5
2008,Litoral,Junio,Entre Ríos,El Palmar,1740,1695,45
2008,Litoral,Junio,Entre Ríos,Pre Delta,481,478,2
2008,Litoral,Junio,Formosa,Formosa,29,29,0
2008,Litoral,Junio,Formosa,Río Pilcomayo,213,193,20
2008,Litoral,Junio,Misiones,Iguazú,41710,21748,19962
2008,Litoral,Julio,Chaco,Chaco,974,938,36
2008,Litoral,Julio,Corrientes,Mburucuyá,335,314,21
2008,Litoral,Julio,Entre Ríos,El Palmar,8422,8369,53
2008,Litoral,Julio,Entre Ríos,Pre Delta,728,723,5
2008,Litoral,Julio,Formosa,Formosa,26,24,2
2008,Litoral,Julio,Formosa,Río Pilcomayo,784,759,25
2008,Litoral,Julio,Misiones,Iguazú,109701,73613,36088
2008,Litoral,Agosto,Chaco,Chaco,325,291,34
2008,Litoral,Agosto,Corrientes,Mburucuyá,379,366,13
2008,Litoral,Agosto,Entre Ríos,El Palmar,13189,13132,57
2008,Litoral,Agosto,Entre Ríos,Pre Delta,630,625,5
2008,Litoral,Agosto,Formosa,Formosa,9,9,0
2008,Litoral,Agosto,Formosa,Río Pilcomayo,720,701,19
2008,Litoral,Agosto,Misiones,Iguazú,103440,66060,37380
2008,Litoral,Septiembre,Chaco,Chaco,316,266,50
2008,Litoral,Septiembre,Corrientes,Mburucuyá,445,441,4
2008,Litoral,Septiembre,Entre Ríos,El Palmar,9005,8932,73
2008,Litoral,Septiembre,Entre Ríos,Pre Delta,500,496,4
2008,Litoral,Septiembre,Formosa,Formosa,37,3,34
